Author,Title,Review,Rating,Dates,Restaurant
SarahClarke1702,Best Halal!,"A nice, friendly restaurant with a wide selection of dishes. We had Halal which was excellent! We really enjoyed our lunch!",4,2018-12-10,NZ Curry House
Emynadya,Hi tea,"I really like having hi tea here . The staff is very friendly , especially rina and bee . She explained me about the food so well . The food is very delicious . Definitely will come again",5,2022-10-08,Latitude 03
"FabbylolaKuala Lumpur, Malaysia",Disappointed experience and DONT understand the high ratings by reviewer,"I went there last Thursday with some friends, the environment was very quite because only 2 tables including us. Overall foods was disappointing, starts from the bread. very thin slice, and we cant taste the olive oil, it was tasteless.I ordered medium rare lambs cutlets, but they served me slightly rare cold lamb cutlets instead. The taste was ok, but does not meet our expectations, as this restaurant got very high ratings.My friend ordered lamb shank, the presentation was ok, but the meat was too dry.The services was average, we managed to make a complain, and they compensate us a plate of dessert for us to SHARED.lolHmm will never go there again.",1,2015-05-26,Pampas Reserve Steakhouse
carollooi,"High Tea at The Lounge, Hilton KL","The selection of pastries for their High Tea consists of way too many sweet items. It should be balanced with more savouries. For the price of approximately RM150 per person, they should consider serving more premium items since the portion per piece is not big. The service and setting is nice! ",3,2023-09-17,The Lounge
SarahW8707,super tasty northern indian cuisine,"My Singh friends actually bring me to this quite a hidden gem I must say. The paratha itself was like really awesome. oh you should try the aloo paratha too (nyums) . Tiki Masala, Palak Paneer (OMG i am literally drooling right now). The food was like really finger licking good, the staff and the owner himself are soo friendly. I couldn't say anything better about this place other than how it make my tummy grumbling for some good aloo paratha and palak paneer.",5,2016-11-16,Singh Chapati House Sdn Bhd
nataliej0nes68,Amazing experience!,"I've only been in KL for about 7 days and I've come here three times, one for the World Cup Final, New Years Eve and then just a day for some food and darts / pool. All three times have been absolutely amazing. Experiences I won't forget my time in Malaysia for. The staff are responsible for this, especially Jenny who has such a fun and positive attitude and will always be considerate of wants and needs. Keep it up Dark Horse, you are amazing!!! Can't wait to come back on my return back to Malaysia",5,2023-01-02,The Dark Horse - Bar & Grill
Peter C,Oro Cafe staff in Hilton Kuala Lumpur was friendly and helpful!,"I went to Oro cafe at Hilton Kuala Lumpur, and your staff have help us solved our problem by justifying the correct address for the booking of the Grab service . Thank you very much!",5,2023-06-09,Oro Cafe
Peter G,Michelin class at high level in dual aspects…Stunning view and environment,Amazing and top class restaurant worthy of any other gourmet restaurant in Europe. Fantastic setting with stunning view and cool design. Delicious ”nouvelle cuisine” with small and exciting dishes. Only set menus and very high prices - but truly worth it for a special occasion or when you are tired of Asian cuisine.,5,2024-01-03,Sabayon
itzmen,Hainan Chop for Everyone,"First time trying this during weekends, it was so crowded and the waiting line is so long as well. But, that shows how good the food is, so be patient and get in line, and you will be rewarded with a satisfying meal. Will come back for more!",4,2018-08-08,Yut Kee
Guide24753350524Malaysia,"Memorable, excellent customer servicee","Just finished my Spa and wondering what vertigo offer. To my surprise the view is unbelievable, the music so nice and the most important that the staff in the pictures!! They are top notch! Greet me with smile and offer to help take photo. Thank you guys for your hospitality I enjoyed my time.",5,2024-02-02,Vertigo
SensiDaveBangladesh,A Slick Operation,"We went for a Saturday night treat at our daughter's suggestion. We had booked ahead and were escorted to a well positioned table upstairs. I am ashamed to say that I have forgotten the name of our excellent waitress but she was helpful and attentive without being intrusive. We really felt she was trying her best to ensure we had a good time and we did.Our order was a wide selection of small plates, all excellent. Special mention to the seaweed taco and the best chicken 'ribs' on the planet.Not the easiest place to get to/from on a Saturday night, next time we will try the Sunday brunch.",5,2019-01-22,Mr Chew's Chino Latino Bar
"vejayaKuala Lumpur, Malaysia",Lunch at Sahara Tent with mate,Keep it short and to the point: Pro's: . Food was good (average). Big portion. Tender meats (Lamb). Love the bread and nut paste. Beautiful decorated environmentCon's:. Alot of mosquito around (feasting on me). Slightly more pricey for certain items. Aircond was hot (humid) - have already told the waiters to increase or on more @ntg done :(. Waiters needs to improve their customer services approachRating 6.5/10Will come over again to try the shisha out ;),4,2016-07-31,Sahara Tent
Hwee Mean T,Fusion Japanese Meal,"Came for dinner after a long day shopping. We ordered salmon fried rice, duck ramen, Monster burger and macaroni & cheese. Waitress who took order was friendly and helpful. Food served in resonance time. Food all taste great, but portion was no big.",4,2018-04-14,Mighty Monster
Arlene S,Great food!,This is a gem in Chinatown. I had the black pepper and mushroom pasta and it was outstanding. The prices are reasonable and the food good.,5,2020-03-09,Bubble Bee Cafe
Trek59633057142,Great experience in Sofitel Kuala Lumpur ,"Shafiq did an excellent job , proposing us drinks and what we should do for the night . Best night out with my wife . ",5,2023-12-10,Nizza
Leenachen,Lounge in the Sky,"Awesome Experience! Came here for birthday celebration with friends, proven to be a great choice! Great view paired with great hospitality and service from the staff! Overall an enjoyable experience. Must try at least once in a lifetime! Will be back!",5,2020-03-05,Lounge In The Sky Malaysia
148fatimaezzahram,Best pizza in KL,"I've being trying to find a good place to eat in KL, and after been disappointed in a lot of places, I discovered this place. The food here is perfect, and the service is even better. Special thanks to Sarmila who was so kind and so helpful, I will come here again for sure.If you're looking to get the best value for your money, then this is the place.",5,2020-06-10,Quivo Pavilion
"MicIpohKuala Lumpur, Malaysia",Decent food,"Ploy is always a good choice if you are looking at affordable fine dine for Japanese, Thai and Western fusion. Simply love the ambience, suitable for friends gathering and couple date. Service is awesome and food portion is just nice...Personally I love the sushi maki, pomelo salad, steak and durian panna cotta dessert!",4,2016-05-26,PLOY
Explorer11733166125,"Good food, probably most expensive ever eaten","My wife and I had a burger each and one beer each. We were charged over Aus$90 for this simple meal.Just an outrageous amount, probably the most expensive meal I've ever had.",3,2023-09-19,Hard Rock Cafe
"EvathesheltieAmpang, Malaysia",One of the best Ramens in KL,"A friend took me there a few months ago and I had their Signature Ramen the first time and fell in love with Ippudo Ramen since then. Have gone back a couple of time and always find some new surprises when I try other dishes. It's a pleasant restaurant but busy too. So try to be there before or after the main meal time in order to get a table. I've tried another outlet of Ippudo Ramen in BSC but still find the Pavilion serves better foods. Apart from Ramen, their fried rice is really yummy too.",4,2017-10-08,IPPUDO Pavilion KL
Explorer54767970586,Great hi tea experience,"The food is decent, nice ambience, the service is exceptional. Good hospitality, will come again to try other meals. ",5,2023-09-24,Bottega Lounge
"GourmandVKuala Lumpur, Malaysia","Some good, some bad dishes","Desserts like cakes here are a must and are always a delicious treat. However the food is so so - my partner tried my caesar salad and was horrified at the chucks of anchovies in it. The lobster roll had hardly any lobster swimming in the mayo - appeared more like diced prawns. Service is inconsistent, sometimes attentive, sometimes bad, Menu has a good selection of western and asian dishes for variety.",3,2017-08-09,Alexis
"elsabaptista79Singapore, Singapore","Great service, great view","We came on a Saturday night for Happy Hour and sunset. Although we arrived a little early, we were given a table right away. My husband and I both ordered margaritas (great happy hour deal!!). The staff was attentive but not intrusive, friendly, and accommodating. They offered to take pictures of us in front of the towers, made sure our drinks were constantly topped up, and that our snacks were filled. Aliff was our server and was especially good, remembering my husband's name and joking with him. Great view of the skyline despite the haze.",5,2019-09-22,Vertigo
Daydream64761926970,"Excellent ambient and friendly and warm Servce nice food coffee.Very delighted by treatment Irma Rizal Wegan,Shaz","Excellent ambient friendly and warm services nice coffee.
Looking forward to vist regularly 
Review tips shld be shorter 
And friendly",5,2024-01-26,Paya Serai
"RonRuffKuala Lumpur, Malaysia",THE PERFECT SALAD!,"I usually ordered the Chicken Barbecue salad for a late lunch with a couple of toasted garlic bread slices. However, today this salad, along with the service could not be beat! The salad filled my plate, not only huge chunks of barbecue chick pieces, but stripped with the barbecue sauce and grated Parisian cheese, even the lip of the plate told the story. Usually I have this big wonderful salad with a couple of toasted garlic bread, but this time I chose the platter with sliced Italian bread covered in mozzarella cheese, thick, gooey, melted over fresh sliced mushrooms. OMG, I thought I was going to die! The most wonderful lunch I have ever had! You gotta try this with a taste of their wonderful selection of beer or soft drink of your choice, the taste, the amount, the falvor, the service...Nothing could have been better! Thanks Fuel Shack staff!",5,2016-02-09,Fuel Shack Signature
Fearless02286833351,Good place to family treat,Nice food with plenty of choices and taste good as well …nice environment  and not really crowded..best place for family,4,2023-09-24,Feast
"Nic0las65Chiang Mai, Thailand",I ate here twice in a two week visit,"I very much enjoyed this fine dining restaurant, and had the best meals of my trip here. The staff was professional and the wine list was amazing. My only complaint was as a solo visitor and not a local, I felt like I was relegated to the cheap seats in the center of the room, with the nicer two person seats on the sides of the room being held for locals on dates. That's certainly the restaurant's prerogative, but I'd not go again if made to sit out in the middle jumble even though I'd reserved far in advance and requested the other seating. A 5 star experience even with my grumbling about my table placement.",5,2019-02-22,Cilantro Restaurant & Wine Bar
Andy T,Wonderful breakfast,"Environment is nice  , same goes to the food. The only part can be improved us the elevated floor on the higher ground , as the set up my encourage kids to climb up and down. This can be unsafe for kids .",5,2023-09-28,Nook
She_who_dreams_12,Bliss,"After being down in Melaka for a while, then coming to KL and having a few disappointing meals it was heaven to have some familiar Melaka style (Muar is just near it) food.  Make sure you have the cendol for dessert- so good!",5,2012-07-26,Muar Restaurant
Daydream47783327712,Great night,"Enjoyed our dinner here. We are a group of 15, shafiq serves everyone of us with a smile and make us feel home",4,2023-10-31,Nizza
"jtsl9Sydney, Australia",Great Food with Awesome Service,It was a buzzing Saturday night with servers attracting customers to their respective restaurants/pubs. We decided to give Pampas a go as it was a more quiet and relax environment. We were seated upstairs as it was fully seated downstair. It was nice to have a private area but it was a bit warm. Our server seated us in the main floor as there was table available. The food was YUM and the service was excellant. Food and drinks were served accordingly and it was reasonably priced,4,2016-03-24,Pampas Reserve Grill & Bar
Michael G,Highly Recommend,"I had an amazing experience, the food was delicious (I wish my stomach was prepared for the 7 course but until next time), the hospitality team were professionals, the atmosphere was breathtaking and Jocelyn was the star of my experience. Thank you again!",5,2024-03-12,Sabayon
"LoveToTravel6467Lausanne, Switzerland",Do not miss this outstanding restaurant,Do not miss this outstanding restaurant in KL. The local Malaysian food is absolutely the best. Wide variety in the menu and excellent attention to your food allergies should you have any. They will come to your table and suggest different items or items they can make for you based on your requirements. Service is great! Sit outside if not to hot. My favorite! ,5,2020-02-07,Bijan
WengHerng,"Good food, but not cheap.","Great tasting ribs, good variety of food and drinks options.
Prices are a tad expensive though, however to be fair, they are located in a luxury shopping mall.",4,2016-04-08,Morganfield's
Andy B,Great Tapas and atmosphere,We loved the atmosphere even though we were probably close to twice the average age! Staff were attentive and friendly and the food was really good........,5,2017-08-10,Pisco Bar
Maps01636970796,Attentive staff at Serena Brasserie,"We stayed here for 10 days on a holiday trip which was very pleasant overall. Breakfast buffet served at Serena Brasserie had wide array of varieties and was delicious,.Though we could have our breakfast at the Club lounge, we had much wonderful breakfast at Brasserie instead. The staff are superb, a big Thank you to Alejandro, Jose, Bulbul and Adib for their caring attention and exceptional service and thanks concierge staff Farhan and Hajib who assisted us during check in and check out Would highly recommend and return! ",5,2024-01-09,Serena Brasserie
OnAir690016,Best ambience,"Best place to drink in Publika! Good service from the staff all round, ask for Rakib. Very friendly guy.",5,2019-05-24,Healy Mac's Irish Bar and Restaurant
hytz,"Great quality, so worth it!","Wide food spread, not just the grilled meats. They also had fresh oysters, sashimi, lasagna and beef stroganoff, desserts and lots more. The meat spread were amazing. They had wagyu beef, lamb, sirloin, duck etc The beef was juicy, tender and well marinated! Forgot to take the pictures but trust me it was so good and worth every penny. The staff are friendly and attentive!",5,2021-04-10,Samba Brazilian Steakhouse Avenue K
"SUDHANSHU-KBangalore District, India","Do not miss, if you are a beer lover","First of all the ambiance of this joint is excellent. You are with your family or alone or you are a couple, this is the place everybody would find a cozy corner to sit. Waiters are very polite and customer oriented. The best part is the availability of various types of beers from different continents and places. The prices are at the higher end but we did enjoy every drop of our beer. The food is also very tasty. I have recommended this place to my friends and those who visited this place were very satisfied. If you love a live band, visit on a Friday",5,2018-10-03,Taps Beer Bar
Elaine Y,Excellent food paired with nice ambience and views!,"We had the tasting menu which was excellent with a nice fusion touch.  Every dish wasdifferent in preparation, looked good and most importantly tasted good! Nice decor and a slightly modern/formal ambience.  Excellent for couples looking for a nice, romantic dinner.",5,2016-11-15,Cantaloupe
lolyta10Indonesia,Popular food spot for tourist,"There were so many tourist bus came to this place. Me and friends were coming to this place to try their pepper soup. But it was sold out already by 12pm. So I recommended who ever wanted to try this, please come before 10am so you can get their famous bak kut teh pepper soup. I ordered butter sotong (squid) as well, but it wasn't as I thought as it would be. Not so recommended this menu",3,2017-05-05,Sun Fong Bak Kut Teh
Terry Q,Good Food & service,"Dropped in for a drink and some food. Food was tasty, drink was good, staff were friendly and there was a good vibe to the bar. Had a good chat with Frank who was the manager inside, recomended.",4,2024-01-09,Havana Bar & Grill
siti n,"For staff Anas ,ayie and amir","Good and fast service from Anas staff, very efficient and quality, fast response and personality, very smart , well dressed",5,2024-02-24,Boardwalk
"stretford79Mirfield, United Kingdom","""Does what a pub should""","The Green Man has a lot of competition in the area.Despite this it stands out in the ""pub"" market.Attentive staff with out being in your face, great value all day happy hour.An extensive food menu and all the sports channels.Popular with locals and tourists alike, keep up the good work.",5,2017-08-08,The Green Man Pub & Restaurant
luckynme,Good quality and tasty japanese food for reasoanble price,Reasonable price at strategic city centre (Pavilion Mall) with very fresh quality and sumptuos food. Value for bento sets and well prepared skewers and salads,4,2014-12-07,Ichi Zen Japanese Restaurant
"Seaside24168619297Kuala Lumpur, Malaysia",Vietnamese fusion,"Vietnamese fusion food as told by our server. Food is good but can’t compare to the ones in Vietnam. Pho was the dish of the night. Service is slow, especially if you sit upstairs as there was no bell or anybody going up at all. So we had to move downstairs. The place is rather small, so make your reservations ahead. Getting parking is a challenge",4,2023-01-08,Sao Nam Vietnamese Cuisine
"jcyhSeremban, Malaysia",Nice Ambience,"Had a small meeting with my colleagues here. Owners were kind enough to loan us the Cigar Room, provided we ordered a certain value of food/drinks. This place a little bit unique in a sense that the place is litter with pictures of jazz musicians (Miles Davis, Dizzy Gilesppe, Sinatra, etc.), and for those who are hifi equipment enthusiasts, there stuff like McIntoshs, Sonus Faber & JBL speakers. Mytek digital source was used but most stuff (including reel to reel) were on static display only. Place was relatively quite, especially in the Cigar Room, and as we were having a meeting, this was perfect. Food was served promptly, with no fuss. Ordered sandwiches, coffee and tea, tasty but nothing great. Lunch menu is a bit limited. Pasta, pizza, burgers...soups, salads, the usual Mediterranean/Italian/Western fare. One part of the this place which can do better is the food menu, I think. Coffee, late, capuccinos were ok. Didn't try the wine(in meeting, remember?), though I can see that the displays/racks were full of varieties. The deserts were good and there's a variety to chose from.Our time spent there was from 11am to afternoon. Place was very nice to have a chat. Music was soft and pleasant. I suppose the evening crowd/dinner the atmosphere could be more rowdy.All in all. Had a nice meeting there. Ok food and drinks. And if I were to chose a nice place to hangout, I will come back here again. Especially to try out the wine :-)",4,2016-11-13,33 Blue Room
"Michael SCamberley, United Kingdom","Authentic Malay dishes, a god experience","Booked on line from UK very easily.Dinner for two. A choice of indoors or out on the terrace. The menu is easy to understand. The food is served quite quickly and is spicy but not too ""hot"". Service is friendly and attentive. There is a good choice of wine, but it is not cheap. The puddings are interesting and a new experience.For an authentic Malay meal in pleasant surroundings, this restaurant is to be recommended. This was not our first visit and the standards have not slipped one little bit.",5,2019-03-27,Bijan
Too P,5 stars service,"A good place to have breakfast, tasty food and great service from Malvin. Definitely will come back again! Everything is good here.",5,2024-03-02,The Brasserie - The St. Regis Kuala Lumpur
leglobetrotter7,Great,Great restaurant with great food and service. Everything we had was really good. Would highly recommend.,5,2018-09-01,Tamarind Hill Kuala Lumpur By Samadhi
"jkwilliams36London, United Kingdom",Ate here 3 nights out of 4,"Myself and my partner are avid foodies and really loved it here. 3 nights out of 4 we spent eating at Sai Woo, eating like kings each night. Throughout out 2 and a half weeks in malaysia we forever compared out meals to Sai Woo. Food was very fresh, lots of choice, hearty portions and great atmosphere. On our final night in KL we were staying at the airport and took a 2 hour round taxi just to have our last night here.",5,2020-02-26,Sai Woo
"RoobanchokSemenyih, Malaysia",Dining in the dark!!,"Starting playing a few game with JiaYang and Jayson, it's was fun and. Amazing. New experience and wonderful moments with my girlfriend. Our waiter Mr Radha is serving us inside the darkness. Good explanation menu from bella. Thank you .I will suggest to family and members this place. Nice experience!!",5,2020-03-01,Dining In The Dark KL
Curiosity47357900570,great vibes! ,"Great place to gathering! the music, their vibes sooo good and enjoy! you can bring fren or plus one to sit and watching the view also! ",5,2023-10-27,Sky51
Giorgia B,Top restaurant and top Nas!!!,"Beautiful restaurant with a wonderful view of the city of KL.
Amazing food and attention to every detail.
Nas has been a really  great and exceptional waiter: always attentive to our needs, Nas helped to create a simply perfect atmosphere during our dinner!",5,2023-08-21,THIRTY8
BdrlHshm,A family function,We were invited for a family function at the restaurant. The restaurant is located near KLCC and quite easy to find. Parking at the place can be a challenge but there is a parking valet service if you need one. There was a large spread of food but nothing spectacular.,3,2017-07-02,Noble House
Dream67617988068,Will come again,"Food is good, environment is nice, staff is friendly, especially Yazed. She made good coffee and peppermint drinks for us!",5,2023-12-14,Latest Recipe
"Lewt123Petaling Jaya, Wilayah Persekutuan, Malaysia","Awesome food, great service & lively scene","Overall, the food was awesome. The mussel soup, the nachos, and the dips were great. The fajitas were OK. Magaritas were good too. The service is great too. When we arrived, we had no table and they opened up an additional table for us by the side and lit up candles for us as it was dark by the side. We were informed once there was table available and they helped us move. They were also helpful in recommending their signature dishes.The restaurant was packed on a Friday night so please do make reservation if want to get a table! Parking is tough during peak hours so do expect to park by the roadside.",5,2014-09-27,Las Carretas Restaurant & Bar
chung986,Excellent BKT just in the outskirts of KL,"Excellent BKT, near KL and you don’t need to drive all the way to Kling.  Very friendly staff and excellent food, good price too and tea quality great as well.",4,2019-02-09,Ah Sang Bak Kut Teh
mattwestcoast,Must go here for the Steak Hut Tenderloin,"Could be the best steak in KL. Comes out on a sizzling plate with chips, vegetables and choice of gravy, pepper or garlic sauce.",5,2018-12-30,Suzi's Corner
"adambZ1562XZMarrickville, Australia",Great Indian food experience,"Great experience , friendly service amazing food of every description.The place is busy yet organised, to a western tourist it seems a little chaotic however it works well.Cutlery is available however many people eat their food with their hands .There are places to wash your hands ( sinks) . It was a great experience however local love it so expect it to be busy - cash only.This is a different dining experience well worth the visit. ",4,2016-12-23,Devi's Corner
Gabriele G,A warm thai touch,"The atmosphere is very warm and the personnel extremely nice and helpful.
The place is particularly suitable for a dinner, specially if with a nice companion. 
The food quality is great and the prices reasonable for the the quality and environment offered.",4,2017-01-05,Busaba Thai
832victorv,Great ambience poor food,"We decided to visit The Precious Old China for the sake of all PR it attracted.The place was packed with patrons but we were seated in a few minutes of waiting.The decor and an internationally buzzing crowd make it a great meeting place, provided you came just for a coffee or tea. The toilets located upstairs could be less decadent and the food was frankly poor. The soup was watery brown liquid and the main course chicken was plain and not tasty. Overall it is an interesting caffe place with some pre Mao era decadent touch.",3,2019-03-03,Precious Old China
"smurphetteeeSingapore, Singapore",Durian Heaven on Earth!,"There is mixed reviews about SS2 Durian with some saying it's overpriced but I say it's the best place to get a good variety of Durians (at least 10 different types). My partner and I love coming here every durian season, feasting on their D24 and Musang King like kings and queens. The durian is fresh and always up to our expectations.Finding parking is easy as it is at the corner of central SS2. They sell fresh coconut as beverage and Durian Chendol as dessert too. We always opt for the fresh coconut and even go for seconds. The staff are always friendly and are patient with us finding the right durian for us (kinda like finding the right engagement ring for the occasion ). This time, we brought our friends from Singapore with us and they were impressed with the variety and friendly service. This place is a great way to introduce durian to friends living overseas and who have never tried durian before!",5,2018-01-10,Durian SS2
"Shaunie888Auckland Central, New Zealand",Chocka at chocha,"We came on a Sunday and expected it to be quiet - started that way but within an hour it was full. Food is interesting - described as fusion but for me it was definitely on the Malaysian side of fusion. We had stingray on toast, banana blossom spring rolls, kale & aparagus, grilled zucchini, aged duck breast and one of the fish dishes. All really good - service was attentive without been too much. I like the space and the cocktails.",5,2022-11-14,Chocha Foodstore
hor778,Well and beautiful place to be,This restaurant staff is friendly and special thanks to Miss BiBi to her nice recommendation of fooooodd !!! Kudos!!,5,2018-03-13,Izakaya Hanazen
Wolv3rin3,Brilliant Masala Dosa ,"One of my fav Indian foodie place around the Brickfields area.
I always enjoy their Masala Dosa, nicely crisp on one side and fluffy stuffed on inside. Recently, accepts GRaB pay, convenient.",4,2019-11-29,MTR 1924 Malaysia
HaoL33948,One of the best fine dining I’ve ever tasted,The food here is a journey of flavor explosion. They have 9 and 11 courses. Went for the 11 course and it was great. Don’t look down on the size of food. It gets very filling towards the end.,5,2019-11-11,Nadodi KL
neeta_tz,Lovely place to dine,The place was cosy and romantic as we were celebrating our anniversary..perfect place to dine but slighty expensive..but worth it,4,2016-08-23,BAAN 26
FRT_1964,Standing Ovation,"Simply the best!!!! Fantastic food, and very kind personnel with special mention for chef Kubota who has made the dinner unforgettable",5,2019-01-26,Sushi Oribe
MalcolmP624,Excellent Pizza,"I was assuming to get a big doughy pizza here but was pleasantly surprised.  Thin crust, very tasty.  Will definitely visit again.  Very good service.",5,2019-03-13,Ciccio Bar Pizzeria
"ramnathcrishnan12Mumbai, India",Fabulous fine dining gastronomic experience,"If you want a superb fine dining experience with exquisitely adapted Malaysian cuisine, this is as good as it gets in KL. This restaurant is open only for dinner. Options are between a 5 course and a 10 course meal - from appetisers to dessert. All at the table must choose the same option of number of courses. Beautifully served and you will taste herbs, flowers and meats not seen on menus often. Service is unobtrusive, efficient and friendly. Good wines are on offer. Reservation needed and if you have dietary restrictions , need to advise them in advance. Chef Darren (or Darell) is extremely passionate and dishes out an outstanding fare - a la Master Chef style . ",5,2016-12-30,Dewakan Restaurant
"Wendy KKuala Lumpur, Malaysia",Cosy Deli in the heart of Taman Segar!,"We went on a Friday without a reservation, therefore the tables inside the air-conditioning section was not available. Offered us a table outside and we went in to choose our meat. While deciding our dinner, the staff came by and informed that there was a table available inside and if we would like to have it. Was really grateful for that!Heard of this place for quite some time before actually trying it out recently. I'm glad I actually tried as I'm smitten already. The range of meat was really good especially for carnivores like me! :D You can have all the sausages, bacon, pork chops, steaks and salmon (sashimi grade) for your picking. Not forgetting they have a very nice range of salads to choose from too. Always preferred Medium done for my steak but many places would have ""over done"" it. My steak was grilled to perfection here. And their bacon was really good with a nice crisp and not salty like most places! Also tried their Pomelo Salad and it really complimented the meat. The staff provided excellent service in taking our orders, assisting to choose the meat and providing suggestions for the salads available.Am really impressed that such a small place provided such excellent service that's even above some 5 star hotels or restaurants. Kudos to the establishment in training the staff so well. Will surely be back very soon! ",5,2018-07-16,Anne Elizabeth The Deli Restaurant
"mezoooooDurban, South Africa",Amazing food,"Food amazingService leaves alot to be desiredVenue dilapidated Went there last night for dinner, the food was out of this world amazing, the selection was huge and the food was very good,not specific Asian which was good. Desserts and cake selection was huge, food was constantly refilled. Lamb was cooked on the grill whilst u wait. The staff on the other hand was extremely unfriendly. Very blaze about everything there was no communication or introduction to the buffet.The venue the views were amazing but the venue is slightly dilapidated, carpets need a good cleanOverall lovely meal and even though the service wasn't the best we still.had an amazing time",4,2022-09-07,Atmosphere 360 Revolving Restaurant
"NaciCIstanbul, Turkiye",Real Japanese,"The most friendly staff. Great very special dishes. Chiefs Masaki and Toshihide explained every dishes which are totally different from the ones that you see in Westernized Japanese sushi restaurants. If you want to taste a glass of sake or two, you should go for the sake tasting triplets. It was a nice goodbye to Kuala Lumpur at our last night here",5,2018-08-05,Sushi Azabu
Jocelyn T,Dim Sum excellent & Wen Tao friendly & helpful ,"Wen Tao from China with technique of preparing the tea of Eight Treasure is super awesome. Not only the presentation, but the awesome taste His service is super excellent & comforting ",5,2023-12-17,Chynna
"Kelly PKuala Lumpur, Malaysia",the No.1 seafood exporter in Japan??? unbelievers!!!!,"Terrible Japanese food with terrible service!!!! Overprice not worth it at all!!! the seafood is not fresh at all! i order the set dinner come with 3 side dish ,fruits chawan mushi, and miso soup. when the waiters serve us the set dinner with tray & because of we have order another so call a ""Charcoal Grilled Assorted Seafood"" they pull out our tray and straight away Inserted teaspoon into the chawan mushi! i was shocked and look at the waiters... how can u do that without my permission? waitress is just stand a side chit chat when i Complaints the seafood is not fresh!!!! Terrible Restaurant with Terrible Staff & Terrible Food!!!!! I would not recommend eating in at this restaurant unless you have a lot of money to waste & a lot of patience.",1,2016-06-12,OZEKI Tokyo Cuisine
"B8354VBpaolabLondon, United Kingdom",Amazing views,"Amazing views of KL. The kids loved the pool, the staff were really friendly - giving the kids towels to use after swimming and even lollipops. Food was nice, but a bit slow. Great relaxing atmosphere, exactly what we were looking for on our first night in KL.",4,2023-07-29,"WET Deck, W Kuala Lumpur"
Inspire757452,Nice authentic Italian food restaurant..,Great service.. Good location.. enjoy some nice authentic Italian foods..almost all kinds of them...love it. ,5,2018-09-15,Michelangelo’s Restaurant @ Pavilion Kuala Lumpur
MohdNoorAb,Celebrating Family’s Birthday,I’m so glad to have such a wonderful birthday celebration with family members. We are sharing the lovely moment in a great place with good staff. They are very passion and always taking good care of us whenever we request so many things from them. We enjoyed the environment and very satisfied with their food. They have free meal for the kids too!! Looking forward to visit this place again and again!!,5,2019-10-20,Chili's
auntiedoris,Good food - reasonable price,"Old place with decoration of 40 years old.  Old tables and chairs but good food.  Recommend the duck, trotters with glutinous rice etc...",4,2016-06-28,Restoran Sek Yuen
"cittabellaKuala Lumpur, Malaysia",Ramadan set meal ,"I thoroughly enjoyed the Ramadan set meal which comprises of mixed fruits, main of choice of lamb shank, beef sirloin steak or chicken, chia seed honey mint mocktail. The watermelon in the mixed fruits tasted of onion. I guessed they used the same knife to cut onion and fruits. They replaced the fruits immediately when we notified them. The lamb shank was tender and really yummy. As for the sirloin steak, the waiter didn’t ask how well we wanted it cooked. Regrettably the sirloin steak turned up to be well cooked and very tough. ",4,2018-05-27,La Bodega Pavilion KL
jokl78,Great waffle,Burger was average. Meat sightly dry. Fish and cheap so so. Abit oily. But waffle is good. Price is average. Service is ok.,4,2022-07-03,Mighty Monster
Furkat M,If you're tired of Asian cuisine and want some European,"Nice place to have some Spanish meal. The atmosphere is cozy, staff friendly. We ordered seafood paella and seared salmon. Paella was far from Spanish one. Rice was too dry and portion is small. Salmon was ok, but they put smashed potatoes instead of pumpkin and didn't mention it before.",3,2024-02-02,el iberico
"Ramchand_66Kuala Lumpur, Malaysia",Poor level of quality service,Ordered online and my order was incorrect . Lodged a complaint but did not get a refund. They need a photo to show proof which I did not have as I throw away all the rubbish I received. I ordered dhal makhani and I got vegetarian koftas. Big difference between the two. Poor quality check. It has not been my favourite as it’s a pricy restaurant. I have black listed them.,1,2022-01-22,WTF - What Tasty Food
"gcatucciKuala Lumpur, Malaysia",Great!!!,"After reading about it from friends, I checked this place out last night with a friend.We ordered the coq au vin, which was tasty with fresh vegetable. We also ordered some roasted duck, and was crispy, tender and moist to perfection. For desert we ordered the mille fueille with chantilly cream, which assembled on the spot with fresh sweet strawberries. It was fragrant fresh and not soggy. The wine selection is good and reasonably priced.Did I mention the casual environment and attentive service?I will go again got sure.",5,2014-08-14,Topshelf
Annonymous289,Great Balinese food and cozy environment with al fresco dining area too,Like the sampler that you get to try the signature dishes. Skewer and the food is good with great hints of Balinese style.,4,2019-01-16,Ole Ole Bali Balinese Specialties
"kimwillruleSingapore, Singapore",Superstar dine feel,"ATAS Restaurant, RuMa Residence Kuala Lumpur: Glorious Sunday brunch at the resplendent ATAS restaurant at Gucci house lookalike RuMa Residence. Each dish was like an ala carte dish cooked to perfection. The presentation well matched by tastes and the service - impeccable and Uber friendly. Ambience is faultless to boot. RuMa is the quintessential hotel to check into for a superstar celebrity feel. And eats. #eatstylishtravelstylish",5,2022-05-29,ATAS at The RuMa Hotel & Residences
