Author,Title,Review,Rating,Dates,Restaurant
Anna L,Great food,"Everything we tried it was excellent, stuff was friendly, polite and finally English speaking. Wine was also great…..",5,2022-02-18,MILE Restaurant
Excursion49351518147,Iconic italien restaurant,"The most wonderful italien restaurant, ownetd are really nice, foot is great and not so expensive and at the you get limonello and nice chocolate.",5,2022-02-08,Ristorante dei Musei
416lukak,Best place near trevi,"Great place to rest near trevi, you can have very special menu from chief. Staff speaks english. Everything was perfect.",5,2023-04-04,Comodo Mercato Trevi
AaCranfill,Incredible Pizza!,"We got a reservation based on the TripAdvisor rating, and it lived up to the reputation! We shared a bottle of wine, and Raffa helped recommend the carbonara and pizza (of which, both were excellent)! The pizza was arguably the best we’ve had in Rome.",5,2019-08-22,Mastro Pizza & Ciccia
argen2v,family treat,"Nice family restaurant located outside rome
with great family atmosphere, authendic italian food cooked by mom and dad and served by there children.
Very friendly and great seevice.
little outside of rome the only downside.",4,2018-03-30,Il Tamburello di Pulcinella
Luis L,Awesome ,"Great place. Casual and friendly. Small but Cousy
I loved the pasta carbonara e Tartufo fresco.
Price is good as well",5,2020-02-15,Quel Che C'è Laboratorio di Cucina
"Y6057RSannapRome, Italy",A big surprise!,"Arriving to the place you would never except in this spot a great gourmand experience, starting from the crispiest and best self made Grissini I have eaten lately. The fish dishes are awesome and the service just perfect, as you can see a piece of heart flying over all plates. I will surely go back to enjoy the atmosphere and the food.",5,2020-10-09,Giaró
"ChristineM10England, United Kingdom",Yum! ,Found my way to the markets via public transport and stumbled upon this sandwich store. The food is amazing! Simple but delicious and the guys are welcoming and friendly. You can tell they are proud of what they produce and do. I had the Vitella e Carciofi- Veal with Artichoke. Simple but delicious! And most important it’s fresh. I’ve had pasta from caffe which have been absolutely disgusting! They reheat in the microwave so I am so happy I came here and ordered something simple and decent which doesn’t break the bank. Totally recommend this place!! ,5,2019-05-11,Mordi e Vai
623anafilipat,Great Italian food,"When in Rome, please try this space. 
Fantastic Italian food, with excellent service, at affordable price. 
Excellent restaurant!",5,2022-06-02,Marco G
"yenehnairbProvince of Rome, Italy",Daughter wanted Indian,"We tried this real Indian restaurant last night for a change. Food was beautiful, Mia really enjoyed the chicken curry and I had the Rogan Josh that we both shared with Jack. The food brought out was hot and spices were just right. Water is served as part of service. We were served by Sahill who was very attentive to us. The pappadums with the three sauces were an excellent start to our meal.",5,2018-10-30,Jaipur - Ristorante Indiano
"DeyanaDakovaSofia, Bulgaria",Nice place,Nice place and staff - Pietro. Pasta was delicious so the tiramisu. We visited the place just before we go to the airport.,5,2022-12-18,La Cucina Nazionale
"Kate CNew York City, New York",good food by Trevi fountain.,You can make a reservation ahead on trip advisor (the fork). It is around the block from the Trevi Fountain so very busy with people but was sat right away with the reservation. The pizzas are reasonable priced and easily shared even though some people ate one each. They have affordable wine by the glass and bottle. The staff is very nice but the place is rather casual and a bit loud but tables are decent size and comfortable chairs. They have limited seats outside but a decent sized dining room and excellent food.,5,2023-10-06,Pizza in Trevi
Sarah D,Lovely bakery,"Recommended to us by an Italian friend. Lots of different breads, focaccia, delicious cakes. All priced by weight and really reasonably priced.",5,2022-10-27,Forno Campo de' Fiori
frljohansen,Very nice restaurant!,"Very good food, super nice employees, good atmosphere and good value for money.
Will come here again, and can absolutely recommend! :)",5,2022-10-20,Mangia e Trevi
"s_bastienl618San Francisco, California",Great pastas between Trevi and Spanish steps,"We landed on this place after being unsuccessful in two other packed places nearby. The decor is nothing special, but it was nice to have space and a bit of quiet.The carbonara and the cacio e pepe pastas were great. Perfectly cooked with flavor.The pizza was ok. Prices were adequate for the quality. There is an inexpensive wine list by bottle or half bottle, but you can ask also just a glass.Service was very friendly, but it’s Europe. It can be slow and there can be a mistake. It’s fine, you’re on vacation after all.",5,2018-04-01,Le Grondici
Sambudha,Dinner,"Since we arrived, we felt the warmth of the place and the kindness of its chefs, who attended us personally and wishing to meet our needs. The food was perfect and there was a natural scent of flowers in the air all the time. It was a beautiful experience.",5,2022-06-02,Vecchia Osteria Del Gelsomino
stoyankan,Aperitivo,Excellent aperitivo place! Good service and delicious food! We had a great time and will be back soon !,5,2022-12-09,Vecchia Trastevere
mr_shaq,Amazing Roman restaurant hidden in small alley,"We had one of best food expereience here. The service was exeptional form arrival until we left. Food was amaizing, any pasta here is delicious. Also second courses are great. I had duck and it was exeptional.",5,2022-02-27,Colline Emiliane
joshbraidchicagoland,Great gluten-free restaurant,"We stayed near the Vatican and La Soffitta Renovatio was convenient. Given my wife's strong allergy to gluten we had already decided to eat here and were very pleased (two dinners, two lunches over four days). That said, the gluten-free pasta was not as agreeable digestively as hoped. The food was excellent and varied; the service could not have been better; we especially enjoyed the lemon sorbet (senza glutine, senza latte).",5,2023-10-25,La Soffitta Renovatio
amirjoonHollywood,Still our favorite place in Rome,"Came back after 3.5 years, hoping that the pandemic did not hurt the quality. Happy to say it is just as fantastic as it was in 2019. Ordered the carbonara again, and it remains my favorite in the world. Also got the lentil soup, it was tremendous (and huge). For our last night in Rome, we decided to splurge a little and go to a place on the Michelin guide. Big mistake. We should have just come back to Mazze, it was miles better. The service is great, the atmosphere is lovely, and again, the food is fantastic (and not expensive). Highly highly recommend.",5,2022-09-23,Ristorante Mazze
kathylaZH,You should join Raisa for Happy Hour!,"Great little shop for a glass of wine, delicious cured meats, and outstanding pecorino.  Enjoy in the shop or pack for take away.",5,2020-01-24,I Pizzicaroli
Matt O,Fabulous dinner,We had a great dinner.  We had Valerio as our waiter.  He was great especially when we didn’t speak Italian.  I would recommend this restaurant to anyone.,5,2023-11-02,Ristorante Il Piccolo Mondo
Jess R,We couldn’t stop eating,"DO NOT BELIEVE ANY REVIEW THAT DOES NOT RATE THIS PLACE A 5*. It’s the best food we have ever eaten in our entire lives. Couldn’t stop at just pasta and then had pizza too because it tasted so good. My partner has tried 6 carbonaras in Rome searching for the best and now wants to come back here every day for breakfast, lunch and dinner. Totally worth it and very very cheap too!! Thank you ",5,2022-04-29,Scialla The Original Streetfood
Amyrose F,Excellent food and lovely atmosphere,"We had a lovely meal here earlier this month. The accompanying wine menu was extensive and our chosen one was delicious. The atmosphere was lovely - the waiters were friendly but not intrusive, fellow diners were a nice mix of tourists and locals, and the decor of the restaurant is really inviting. We had spotted the restaurant on a walking our the previous evening, and I'm delighted we went back. Very reasonable price with a slightly upmarket feel!",5,2019-01-17,Enoteca e Taverna Capranica
"HL65Heinola, Finland",Nice dinner next door,"Our accommodation was situated near this restaurant, so we decided to give it a try. The staff was very friendly and the place was full of people. As starters we had bruschettas with artichoke cream followed by two pasta dishes. Food was tasty and reasonably priced. This seems to be a popular place, so it would be wise to book a table. It is only few steps from Re di Roma Metro station, so a short trip from the heart of the city is recommended. ",4,2019-07-25,Trattoria Re di Roma
"Evy8328London, United Kingdom",THE PLACE TO EAT IN ROME WITH THE BEST SERVICE IN ITALY,"If I could I would have given this place a million star review. The food, atmosphere but most of all the staff in Ragno D’oro were incredible. The place is opened for lunch and dinner however they are very busy so make sure you pre book. In our 3 days stay we made table 7 our home. We went back pretty much every day. We were a party of 8 and Fabio (the owner) and all his staff couldn’t be more accommodating. Even though the place was absolutely packed but we didn’t have to wait for food for too long, we were entertained and looked after. Not to mention their incredible food (we have tried pretty much everything from the menu) cooked to perfection and definitely with the touch of love from the chefs. Their pistachio tiramisu is amazing. I definitely recommend this place to everyone who is looking for true and authentic cuisine with amazing service.Thank you Fabio and the team.We will be back!!!! ",5,2022-05-05,Il Ragno d'Oro
"Shane WOia, Greece","Great food, vibe, warm staff",Two dinners in a week in Rome . Great pasta ! Comprehensive wine list . Fun friendly staff who seemed genuinely warm and delightful but he times - i think if we were locals would feelLike family by the 3rd time . Strongly recommend . We stayed also in Trastevere which was an easy 15 min walk across the Ponte Sisto. I would also say restaurants like this are great in contrast to the harried unfriendly traps closer to the Spanish steps,5,2023-06-25,Renato e Luisa
T7460SCbriand,Perfect place for great dinner! ,"Fantastic dinner, spectacular service . Wael and rest of staff made us feel like home! Would definitely return!",5,2023-09-27,La Piccola Cuccagna
"fiona105Leeds, United Kingdom",Christmas Day lunch!,"We enjoyed a very tasty Christmas Day lunch at this friendly, local restaurant, who went out of their way to make our visit one to remember. Lovely to be with other families dining out at Christmas. Highly recommended - we will return on our next visit to Rome!",5,2018-12-28,Altrogiro
karl_nak,Nice and cozy,Good atmosphere and food. Great tiramisu and pasta carbonara. May be fully booked on friday evenings.,4,2020-03-05,Osteria La Sol Fa
Avia F,Disappointing,"Sadly, not a great experience for our last dinner in Rome. We were excited and confident after seeing the high rating and the many good reviews, to the point we thought there is something wrong with us - sadly, we have to agree with the minority of poor reviews we managed to find.The decor is like some describe, outdated and heavy.We ordered the tasting menu at 45 euros per person. None of the food really tasted good, but it was generous - so much so we didn’t finish almost all of the dishes, and those that we did were eaten out of a sense of duty. The raw seafood platter was not to our tastes, and neither were 2 of the appetizers. The other 2, one of them the only hot appetizer served, were just OK. The best dish was one of the first courses, wild rice with shrimps and pumpkin flowers, but that was served too scalding to eat as it arrived and was also left unfinished as their best is not good enough. One of the main courses (both “fish of the day”) was swimming in too much sauce, and the other too dry. The dessert, pineapple ravioli, was just too sweet.To end on a positive note, the waiter was very nice and tried his best.",2,2021-07-31,Sa Tanca Crostaceria
Marieheleneper,Nice cafe,Really nice service and the food is awsome! Everyone should go! I needed some internet and they gave me the wifi password!,5,2019-10-17,Cafè Memè International Bistrot
pbvdveen,Good food; very tasty: real Italian,Good Italian food! bit expensive but overall good price for the quality. The interior and lighting can be better,4,2016-05-05,Osteria29
Quest29592691922,Beautiful restaurant to eat in the center of Rome,"Very nice restaurant in the center of Rome. Nice terrace outside. 
Very nice waiting staff, in particular Fabio, and delicious food.",5,2023-07-03,'Gusto
eirkar80,A good choice,Nice place close to the Spanish steps. Typical Italian menu with some twists. Extensive wine selection. Been here twice this week and service is good and consistent. Recommended.,5,2023-08-26,Sofia
"RimaMariaBerlin, Germany","So good, not touristy, very nice staff & location!","Absolutely loved this place! One of the best places we ate at in Rome. Fresh ingredients and super delicious. You barely see tourists the, which is good. Its not far from Termini though. The staff is still very nice and doesnt mind speaking tourists! A must if you love good Italian food!",5,2013-08-13,Bentu & Soi
"mcmo4Arezzo, Italy",Il ristorante Mejo di Roma!,"allora, ottima proposta piatti, camerieri gentili, si mangia che meglio di così è impossibile. Da consigliare senza ombra di dubbio la pasta cacio e pepe, cotta perfettamente e i fiori di zucca!Prezzo abbordabile, considerando dove siamo!Unica piccola minuzia: sono dovuta andare al bagno durante la mia permanenza e non sono riuscita a chiudere bene la porta (con conseguente piccolo episodio imbarazzante).",5,2024-02-24,"Mejo "" Cucina Romana """
David W,Great Coffee,Stopped for coffee and pastries before our tour of the Vatican Museums. Very friendly staff on arrival. Great pastry displays. Latte and Cappuccino’s were excellent. A bit pricey but quality was phenomenal. Definite recommend.,5,2019-04-09,Feffo
skosyak,Five star for attitude ,"Visited with my son for a quick bite. Food hit or miss.

Was great spaghetti as well as mozzarella and tomatoes but sausages were dry and boring.

They gave us sweets to go which was a great gesture:)

Thank you!",5,2019-09-01,Ce Stamo a Pensà
425alessandraa,Bella serata,"Bel locale, atmosfera molto piacevole, buoni i panini. Fantastica l'organizzazione del gioco quiz.
Da ripetere assolutamente",5,2022-09-04,Gezin Pub
YosifK8,Excellent Restaurant,Very good place with nice and friendly staff. The food is original Italian and I recommend it greatly!,5,2019-07-07,Trattoria Sapori di Casa
Lexus M,Excellent Pinsas at reasonable prices,Excellent. Very good pinsas at reasonable prices. Im glad we stopped by. Good service. We had a selection of pinsas and all were good and crunchy.,4,2023-12-31,Pinsa 'Mpò
Niilo K,"Visit in Gusto, Rome",We had an amazing time at lunch with Felice as our waiter. We got a very friendly and fast service accompanied with delicious food.,5,2024-03-10,'Gusto
"Susie DBrisbane, Australia",Waitstaff we’re amazing,"I found this place on the street by accident, it was right on the corner of an apartment I was staying at.The wait staff were absolutely wonderful and made me feel very welcome as I was solo dining. I got the pasta amatriciana and it was delicious! I finished it off with a classic tiramisu and again it was delicious. A definite place to eat!",5,2023-09-02,Meridionale - Trattoria a Trastevere
"Lindsay294Austin, Texas",That was interesting,"We did the tasting menu at Pipero and each course was unique and was the work of a chef/artist. The meal peaked at the pasta course, and their “famous” carbonara is incredible. What was weird was the service. The restaurant has only a few tables and each table spoke in a hush leading to this very quiet room with no ambient noise (no music or anything). Be prepared that the staff is polite, but very serious and rigid. Overall, we enjoyed the food but our meal at Pipero was one of the most interesting that we have had.",4,2022-06-05,Pipero Roma
"BranoRscPrague, Czech Republic",Could try little harder.,"Visited restaurant for lunch, ordered 4 course tasting menu with wine pairing. Food was great but no real invention or surprise. Nicely cooked but was left little shocked with how much frozen produce and frozen fish was used in my dishes as I was sitting overlooking kitchen. Biggest surprise came with basics - shockingly hard and old bread and focaccia that was again frozen and great but over-chilled wines. All wines came straight from fridge and were freezing cold and impossible to enjoy (3 degrees max). Definitely not worth the Michelin star - at least during my visit. What a shame.",2,2020-01-03,Per Me Giulio Terrinoni
Gemma M,Cool and friendly spot,"Nice terrace to have a drink or dinner in the  summer nigth in Rome. Mismatched seating and a friendly staff will welcome you. Good choice of drinks ranging from classical to new, creative cocktails. Burger, meat or fish are excellent.  Fair price.",4,2020-08-24,Stadlin
"Genjackson57New York City, New York",Lookout for wine ripoff!!,"I always hate an attempt by a restaurant to switch a cheap wine for the wine I ordered. I order an Antinori Chianti by the glass which was on the menu. The waiter brought out another wine instead and presented and began to pour. I said stop, the wine I ordered was Antinori. He said it was only available by the bottle, I reminded him it was listed on the menu by the glass and said we really like Antinori. I asked if it was the same price point as Antinori and assured me it was similar. Yo make a long story short, when the bill came, I was charged for the Antinori. I protested to no avail and had to pay the bill. TOTAL RIP-OFF!!!!DON’T EAT MEDIOCRE PIZZA AND GET ROBBED ON THE WINE AT BRUCIO!",2,2022-10-24,Brucio - La Romana
"HutstarWollongong, Australia",Bellissimo,"Beautiful Italian place . We had been out all day in 32 degrees and wanted somewhere nice for lunch. Saw these white umbrellas over tables and thought this is nice.Asked to sit inside for the cool air and such a surprise, very welcoming staff, beautiful artworks, comfy seats and clean toilets.The food was amazing not too pricey and generous proportions. The staff spoke English and were lovely. Most welcoming Fabio, Shaed, Gabriella and Matted. At the end they surprised us with an Italian Lemon cocktail and red love heart chocolates WOW what a lovely treat Well worth going there .",5,2023-09-10,Il Ristoro dal Patriota
Axel Christian B,Great place!,"Google-oversettingWe went here two days in a row, for a reason, when we visited Rome in January. The food is really good, our waitress Katia was very helpful and friendly, and the situation on Isola Tiberina is perfect for a calm lunch in the middle of Roma!",5,2024-01-23,Tiberino
paulakQ7779UH,Great mix of non-vegan and vegan food!,"I was looking for a restaurant that had both non-vegan food and vegan food, as am I vegan but my friend would like to eat ""traditional"" food. This was the perfect mix! There were so many options for both of us, which was so great.I had the vegan carbonara and it was so good! My friend had a pizza and she was super happy with it, too! As dessert, we had a vegan chocolate mousse and vegan Tiramisu. The chocolate mousse was our favourite! The waitress was also super friendly. Great experience and we will come again! :)",5,2022-02-19,Origano Campo de' Fiori
"ArthurMinIsle of Man, United Kingdom",Slightly Underwhelmed,"We visited this restaurant whilst on a recent trip to Rome and made a reservation based the reviews claiming it to be one of the best steak venues. That said, we were both underwhelmed by the menu with very few starters and equally few steak choices. €140 would buy a Tomahawk Steak prepared at the side of your table, but don’t go expecting a traditional fillet or sirloin with French fries and veg because it’s certainly not that. Importantly the steak we did choose was cooked to perfection and well presented but that was it, with the exception of two pita breads on the plate, also a first for me in a high quality steak restaurant. The service was attentive and friendly and the restaurant decor clean and modern. Would I revisit, probably not, would I recommend it…do your homework and when in Rome why not.",4,2023-03-03,Ornelli Black Angus Steakhouse
Curious43294660163,Happy Hour Seafood Carpaccio highly recommended,Visited twice as staying close by. The happy hour deal of 25 euro for a BOTTLE of prosecco and fantastic seafood carpaccio was the best deal of our entire trip - highly recommended. We went back for dessert and amaro nightcap and the chocolate fondant was perfect. Staff was friendly and service was great. ,4,2023-09-12,Ristorante La Tavernetta 48
"davidkE6220VMBoca Raton, Florida",Loved it,"I know its a bit unusual to go to a burger joint while in Rome. Just felt like a burger so we stopped in the Burger Bistrot. After we were warmly greeted we ordered a burger and fries. We loved it. Food was fresh, hot and delicious. Service was excellent. The server/ owner was very sweet. Would definitely go go back.",5,2018-10-17,CULT Burger Attitude
"JultrunkPhoenix, Arizona",Not for tourists,"We made a reservation in advance. When we got there we were taken down to the basement seating area (not the pretty area shown in the photos). The table near us were perhaps locals or regulars. The servers could not do enough for them. They received two courses before we were even greeted. We almost got up and left when finally the server acknowledged us and wanted to take our order. We then had to ask for the wine menu and wait to be acknowledged again. Once we did order the server was completely annoyed at us. So it would appear that service is not a priority for tourists but, locals would do much better.",2,2019-05-30,MiVà
Yeliz A,Good choice,"Been there with family and friends. Unlimited open buffet, everything is so fresh and costs 10 euros per person. The staff is so helpful. Dont miss it if you stay near the termini...",5,2023-07-30,Ristorante Cotto
427minhv,Amazing experience!,Simoncino was an amazing waiter!  Food was so delicious!  Fresh pasta and great service!  Thank you! I had the gnocchi ragu!  So fresh pillowy soft!,5,2022-11-09,Osteria da Fortunata - Cancelleria
112charbelt,Best place,"One of the best restaurants in Trastevere. 
Delicious and fresh.
Thanks to Carla, she is so kind and friendly.",5,2023-02-11,Otello
tommybegoood,good quality for the price,"the food was good. there is a really good atmosphere it’s joyful. our waiter, Marco was really fun and friendly. i recommend!",5,2023-10-29,La Nuova Piazzetta
"layla dLondon, United Kingdom",Charming service and excellent fresh pasta and tiramisu.,"Beautiful fresh pasta that is made in the window and tasty fresh bread and tiramisu were our highlights. The atmosphere is very busy and slightly chaotic and buzzy so perhaps not the place for a cozy , romantic meal but certainly an experience and one we enjoyed. The staff were very friendly and knowledgeable and we enjoyed our meal very much. Would definitely recommend it. It did feel slightly more for the tourists than the locals, not to stay there was not locals but you could tell it was extremely popular with tourists mainly. The food is good though and the fact they make the pasta in the window is charming. This was a good, well made meal even if it wasn’t my personal favourite meal of the trip but still a good time. Dessert of tiramisu was my highlight. Excellent fresh choice! We would come again.",4,2023-09-19,Osteria Da Fortunata - Baullari
Tour32710122639,Very good,"Emanuele .. very good service talking with people with smile  
I like it .. 
absolutely very testy food ",5,2024-01-03,Osteria da Fortunata - Pellegrino
"Alex CAbu Dhabi, United Arab Emirates",Pleasent Surprise,"I tried the first night but they were fully booked and the waiting time was of one hour, booked for the night after and it was the right decision.We arrive at the restaurant just befor 7pm, still just a couple of tables, and in 15 minutes, not a chair was available.Simple menu but dishes were very tasty and made to perfection.The Gnocchi was one of the best we had in Rome, so was the veal.I would recommend anyone going to Rome to enjoy a dinner on this nice little and cosy restaurant.Service to be honest was jut ok (like everywhere in Rome), but they did a good job.Prices are fair, a dinner for 3 including 2 glasses of wine for 61 euro.",5,2023-04-10,Agrodolce
534garrettd,Best Food We Had In Rome,"We went here for dinner and then lunch the following day. We had pasta, sea bass and dessert all were fantastic!!! Don’t skip this restaurant on your visit.",5,2019-06-02,Meridionale - Trattoria a Trastevere
mbianconero11,Food made with love!,"Efficient service, fantastic food, fun quirky ambience and reasonably priced !!

We had some misto platters, pasta and tagliata. No need to explain the pictures do it all..

Thank you for a lovely evening",5,2018-01-26,La Fraschetta di Castel Sant'Angelo
"754elizabethyLondon, United Kingdom",Exceptional ,"We visited the restaurant as a last night treat to finish our trip to Rome. We were staying in the hotel and had used the lovely bar each night.I have to say it was truly a taste sensation! I have eaten in many high end London restaurants and this topped them all. The food was exceptional, and the presentation added to the enjoyment. We thoroughly enjoyed all the chefs little extra surprises. The staff were knowledgeable and highly professional. It is expensive, but worth it, a very special place to go if visiting Rome, highly recommend.",5,2019-02-26,La Terrazza
"Bertrand_WoosterLondon, United Kingdom",The most sublime family run restaurant ,"We had the the most fantastic meal in this off the beaten track, authentic Italian restaurant. We were made so welcome, and nothing was too much trouble. Each course of food was amazing, and the home made bread was fantastic. As we ate our main course we knew we had to eat here again. We were so sad that the restaurant was closed on our last day in Rome. We'd have eaten here again and again. Seek it out, and enjoy brilliant, inexpensive, high quality Italian food. Our best night in Rome. ",5,2024-02-17,Il Tamburello di Pulcinella
"jademN2433PPManchester, United Kingdom",Great Food and impeccable customer service,"We went here for a meal on our last evening in Rome and we both rated the food at the top of the places we had eaten. It’s a gorgeous little restaurant and the outside seating area gives such a lovely atmosphere. Miles was so helpful and attentive and the food was lovely, you can tell it’s home made 100%. Really topped off our trip.",5,2022-07-17,Il Tamburello di Pulcinella
Suz-Views-Philly,Cool restaurant in charming setting ,"What a cool little place with charming outdoor seating. Service was casual. Food was very good. We had panzanella salad, the focaccia bread (hot and very crispy), lasagna, cacio e Pepe, and the chicken skewers. It was all delicious! Try the aperol spritz their signature cocktail.",4,2023-06-14,Ombre Rosse
"Henry ALondon, United Kingdom",Top tier restaurant but portion sizes disappointing and uneven,- Extremely high quality very well cooked food - Every dish we had was impressive. - Great wines & drinks generally- The service was ok/good- Portion sizes were poor and my guests left stating they were still hungry which was annoying considering I paid the enormous bill!,4,2022-10-28,Bottega Tredici
Holten2,Top Notch Breakfast,"Very nice staff, very nice enviroment. Good food and good drinks. Nice vibe and alot of saticfide costumers.",5,2022-05-27,Bar La Licata
chhe89,Delightful dinnner at Unik Restaurant,"We enjoyed an outstanding meal - filetto di manzo - on nicely decorated plates, served as ordered (medium) by very polite and pleasant staff, making recommendations and interested in their customers‘ wishes. 
Fair prices for a quality that is on point.",5,2023-09-12,Unik Restaurant
"gregoryv387De Haan, Belgium",Excellent experience,"Typical Italian restaurant where we enjoyed a wonderfull evening and excellent dishes. From the tuna tartare over the pasta with truffel and the tuna in crust, everything was a true delignt. My wife even received a rose as gift as I indicated it was her birthday when I made the reservation. The lady welcomed us in perfect English.You will certainly see us again when we are back in Rome.",5,2017-10-18,Dar Sor Olimpio al Drago
"JFCoatesWashiington, DC",Real Sicilian Food in Rome!,"We had a reservation, and the waiter was at the door to show us to our table. He explained the menu in Italian, and answered all our questions. Even the one Italian at the table had his. The chef/owner is from Messina, so that is the cuisine. I ordered a cheese appetizer and a main course of some sort of medium-sized fish, fried and very tasty. The other six people were delighted with their selections, mostly some kind of fish, but don’t ask me which ones. The Sicilian white wine was superb, and after dinner drinks, the same and ample. For the first time, I had an amaro called “Amara”, and I hope to find a bottle to have at home. There was an anise liquor chaser that would also be worth a trip to the specialty store. By the way, the chef/owner’s name is Alessio, and he should be an item on the menu; he came to our table and talked and poured drinks after dinner.",5,2017-10-16,Tischi Toschi Roma
juliebD5464LX,amazing,Near our hotel we met this amazing little restaurant with cacio e pepe and carbonare. Good service and good price,5,2022-06-08,Hostaria Ago e Lillo Roma
"Katy TLiverpool, United Kingdom",Wouldn't feed this to my dog,"The menu choice was limited. The waiter then informed us of further choices which were unavailable. The pasta was undercooked irrespective of the 'al dente' excuse. I asked if the 'chicken' was breast meat. I was advised that it was. It was not. I made an attempt to peel skin from the brown slops of meat disguised in tomato sauce, before giving up.The steak was substandard. We were fed bread out of a brow paper bag- the only thing to stop us going hungry! We then paid €70 for the experience.",1,2017-04-09,Apuleius
"Alan FWestfield, Massachusetts",Moving Up the League Tables,"Some meters away from the bulk of the Trastevere tourist crowds, this is a superior neighborhood venue. There is variety, artistry and congeniality and fair prices for the quality. A small, but thoughtful wine list should please the discerning palate. The desserts are a little weak, but starters, primi and mains are solid, wide ranging and well crafted. This is a fine local where visitors are welcome but not essential. That is what we look for, and we look forward to returning.",5,2023-11-12,Evo Hosteria
Arben B,The best restaurant in Campo de fiori,"By far the best restaurant we have visited in Rome. Have stopped here every day of our trip. They don’t pester you in the market to have a seat and don’t have the deceiving photos for their menu. Honestly, this is a 10/10 with great people watching , and they are very friendly!! Any time we are back this will be our first stop!",5,2022-01-29,Mercato Hostaria
Jwwang01,Dinner at Osteria da Fortunata,"My wife and I had an excellent dinner. Our waiter, Gianluca, was very attentive and helpful with the menu. He provided recommendations and always checked to see that we were doing well and liking the food. The food was outstanding and the handmade pasta is worth the trip alone. Gianluca kept the dishes well paced and the visit humorous. We will definitely be back!",5,2022-10-29,Osteria da Fortunata - Cancelleria
FlorenceL1508,Wonderful gustative experience in Roma,"Excellent italian food and cocktails.Pizzas are made with unuual flours and garnishes are very original compared to what you can find on other restaurants menus in Roma !Moreover, if you like tremendous cocktails, you have found THE place !People working there are also very kind and friendly !Just go there right now !",5,2021-09-15,Tacito
"abigailbhsRome, Italy",Would recommend this restaurant ,"Food was unreal. I went for the bruschette which I would definitely recommend if you like a variety of tasters to the Italian style food. My main was the lamb, but I changed my potatoes to a chicory salad. I went for Pineapple which was very fresh and juicy with rum ice cream, this left me very satisfied after the meal.Service was impeccable and all staff I spoke to where friendly and spoke English really well. I would highly recommend. I did go around 10pm on a Thursday and the atmosphere was lovely. There was a good mix of Italian, French and English people and everyone seemed to be happy. For those with walking issues, there are no steps into the restaurant with seats outside. The entrance to the restaurant isn't big enough for a wheelchair to get through but if your happy to sit outside under the umbrellas, I would recommend. ",5,2023-04-14,Enoteca e Taverna Capranica
"MartineR1121Quebec City, Canada",Everything is just great !,"This place is totally perfect! Ambiance, service ( Michele is lovely and so kind ) Food & Wine I recommend this place to everyone who is looking to have fun and make a great discovery there!We have been there for two days in a row already and probably going back this afternoon!Thank you so much  ",5,2019-10-17,Trapizzino Trilussa
josefinn198,Birthday party,We came here for a birthday party. The atmosphere is very nice and friendly the food is amazing especially the fish. The staff is well trained and friendly I will def come back. Thank you,5,2022-07-10,La Locanda del Gatto Nero
Footprints801890,Amazing Pizza,Excellent Pizza and the service is great. Nice and quiet place. Everything is perfect. Only operating for 7 months… a great future for the Brucio team,5,2022-12-26,Brucio - La Romana
"CowgirlmomYYCCalgary, Canada","Loved the atmosphere, fabulous service and great meal!","We stopped for dinner at Caramella on our final night in Rome, we wanted something casual with a fun atmosphere. From the moment we walked in, our sever Michele was outstanding! The restaurant was busy, but he squeezed two tables together. After we had our drinks, a better table up and he offered it to us...it was much more comfortable and in a good spot. He didn't have to do this, but it showed his commitment to making it a great experience. His service was excellent, always keeping drinks coming and providing the right balance of responsiveness and conversation. The cocktail menu is extensive and the bartender know his stuff! They even offered non-alcoholic cocktails to our younger daughter that were reasonably priced and fun for her. We al loved our meals - pizza for the girls, the specialty ravioli for me and Caramella's take on stew for my husband and all of us were happy. We also had a few appetizers that were delicious. The ""final icing on the cake"" was a great duo playing music that started about half-way through our meal. The duo were upbeat and really good and played a mix of American and Italian songs that had the whole restaurant clapping along. It was a great was to spend our last night in Rome.",5,2019-04-02,Caramella
UrbanLA,Good dinner at Trestevere,"Very nice restaurant, friendly staff at entrance and  guys serving the food. Amazing no frill dinner. We were served by Ciro who did a wonderful job attending to us and making sure we were happy.",4,2023-04-09,Casetta di Trastevere
"ounsihFarwaniya, Kuwait",Quite enjoyable experience,"From the reservation to getting a taxi, everything was enjoyable and served with a smile. The setting was very nice, we stayed on the terrace. Quite romantic but a bit on the noisy side in the early evening (we arrived at 19:30). The food was excellent whether taste or presentation wise. The raw fish (crudo) is not to be missed. The lobster catalana is also epic. Fried items are good albeit on the oily side. The personnel is very amiable and know their craft. Overall a great experience ",4,2023-09-20,Pescado Seafood Restaurant Guida Gambero Rosso 2024
"adapo2020Zagreb, Croatia",Excellent food and friendly staff,"The restaurant was recommended to us by the owner of the B&B where we stayed. We were there two times, and it was great both times. The staff was very friendly and good with kids, especially Christian. The food was excellent and the bonus is the proximity of St. Peter Basilica.",5,2022-02-25,Ristorante da Romolo alla Mole Adriana
